City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
pangody,90,RU,1569382403,85,65.85,74.49,34.01,21.68
brookings,1,US,1569382346,82,44.31,-96.8,66.2,11.41
souillac,27,FR,1569382403,100,45.6,-0.6,59.0,6.93
golkoy,75,TR,1569382403,88,40.69,37.62,62.6,4.7
nikel,75,NO,1569382403,81,69.41,30.21,39.2,17.22
jalu,0,LY,1569382403,29,29.03,21.55,77.93,8.86
honningsvag,75,NO,1569382245,70,70.98,25.97,42.8,14.99
itoman,75,JP,1569382403,69,26.12,127.67,82.4,13.87
port moresby,40,PG,1569382394,74,-9.47,147.16,84.2,17.22
pangai,20,TO,1569382404,57,-19.8,-174.35,78.8,6.93
santa vitoria do palmar,0,BR,1569382376,88,-33.52,-53.37,53.81,4.54
half moon bay,20,US,1569382404,31,37.46,-122.43,84.2,8.05
tatarsk,3,RU,1569382404,77,55.22,75.96,40.13,12.86
antofagasta,90,CL,1569382404,82,-23.65,-70.4,57.2,9.17
kaeo,49,NZ,1569382404,82,-35.1,173.78,61.0,11.01
preobrazheniye,0,RU,1569382404,32,42.9,133.91,61.55,7.54
monrovia,75,LR,1569382404,94,6.33,-10.8,77.0,5.32
reforma,90,MX,1569382404,67,24.02,-104.65,62.6,3.36
san ramon,85,NI,1569382405,99,12.92,-85.84,68.21,2.33
carballo,20,ES,1569382405,93,43.21,-8.69,62.01,5.82
jaffna,100,LK,1569382405,82,9.67,80.01,82.07,19.24
amahai,13,ID,1569382405,83,-3.31,129.0,79.19,10.76
zapolyarnyy,75,RU,1569382405,83,69.43,30.82,39.2,17.22
port hope,1,CA,1569382321,93,43.95,-78.29,57.0,2.24
shimoda,20,JP,1569382405,65,34.7,138.93,82.4,11.41
aklavik,40,CA,1569382405,87,68.22,-135.01,37.4,2.24
hegang,0,CN,1569382406,41,47.34,130.28,61.01,5.99
port hedland,39,AU,1569382406,22,-20.31,118.58,86.0,14.99
yuksekova,0,TR,1569382406,37,37.57,44.29,44.6,6.93
manta,100,RO,1569382406,85,45.1,24.1,54.17,2.15
balagansk,1,RU,1569382406,65,54.01,103.05,60.11,6.96
wattegama,57,LK,1569382406,67,7.35,80.68,81.35,3.76
khandyga,0,RU,1569382406,45,62.65,135.58,44.81,8.81
cluny,75,FR,1569382407,67,46.43,4.66,60.8,5.82
coahuayana,100,MX,1569382407,90,18.62,-100.35,73.97,2.15
qaqortoq,9,GL,1569382407,65,60.72,-46.03,41.0,5.82
pitimbu,20,BR,1569382407,94,-7.47,-34.81,73.4,4.7
byron bay,40,AU,1569382407,77,-28.65,153.62,77.0,13.87
muisne,67,EC,1569382407,89,0.61,-80.02,74.15,14.9
ambagarh chauki,100,IN,1569382407,97,20.78,80.75,73.61,2.66
aguimes,20,ES,1569382407,73,27.91,-15.45,71.6,18.34
wana,0,PK,1569382408,69,32.31,69.59,61.73,3.85
zhangjiakou,0,CN,1569382408,29,40.77,114.88,67.31,2.62
akcaabat,0,TR,1569382408,59,41.02,39.57,64.4,5.82
praia da vitoria,20,PT,1569382408,82,38.73,-27.07,64.4,11.16
ilo,100,PE,1569382408,82,-17.65,-71.34,59.57,3.89
inuvik,40,CA,1569382366,85,68.36,-133.71,37.4,2.24
mongo,100,CD,1569382408,82,-5.62,14.6,72.35,7.76
issaquah,90,US,1569382408,72,47.53,-122.04,64.4,3.36
plettenberg bay,0,ZA,1569382409,88,-34.05,23.37,47.69,5.53
hailin,0,CN,1569382409,52,44.57,129.38,62.63,5.06
podporozhye,96,RU,1569382409,84,60.91,34.16,31.85,2.71
high prairie,98,CA,1569382409,74,55.43,-116.48,47.87,9.82
manzanillo,34,MX,1569382201,80,19.05,-104.32,83.15,5.61
vanimo,100,PG,1569382324,71,-2.67,141.3,83.69,11.3
uruzgan,0,AF,1569382409,12,32.93,66.63,63.89,7.2
manokwari,98,ID,1569382409,88,-0.87,134.08,77.21,5.23
orocue,1,CO,1569382410,88,4.79,-71.34,75.77,4.14
luderitz,0,NA,1569382410,10,-26.65,15.16,86.0,24.16
yichang,100,CN,1569382410,66,30.77,111.32,66.77,5.48
kudahuvadhoo,100,MV,1569382410,73,2.67,72.89,80.63,4.09
shieli,0,KZ,1569382410,39,44.18,66.74,60.83,12.62
bandar,75,BD,1569382410,83,22.29,91.78,82.4,7.99
dwarka,40,IN,1569382410,83,28.58,77.04,87.01,6.93
bukama,0,CD,1569382410,68,-9.2,25.85,63.53,2.89
mareeba,40,AU,1569382411,54,-16.99,145.42,84.0,17.22
neryungri,100,RU,1569382411,95,56.66,124.71,35.45,2.48
dodge city,75,US,1569382160,88,37.75,-100.02,72.0,9.17
cap-aux-meules,90,CA,1569382411,93,47.38,-61.86,53.6,24.16
vila franca do campo,20,PT,1569382411,77,37.72,-25.43,71.01,2.24
umm kaddadah,92,SD,1569382411,29,13.6,26.69,88.91,2.48
suez,0,EG,1569382411,86,29.97,32.54,65.15,6.4
mugur-aksy,0,RU,1569382411,48,50.38,90.44,46.25,12.53
middelburg,96,NL,1569382412,87,51.5,3.61,59.0,18.34
xining,0,CN,1569382412,52,36.62,101.77,50.03,6.02
moralillo,20,MX,1569382412,79,22.23,-97.91,84.2,9.17
sao joao da barra,33,BR,1569382412,82,-21.64,-41.05,61.37,2.35
antigonish,90,CA,1569382412,100,45.62,-61.99,62.01,8.05
fortuna,75,US,1569382412,93,40.6,-124.16,64.99,12.75
new city,1,US,1569382406,82,39.67,-89.54,68.0,8.05
mount pleasant,1,US,1569382412,73,33.16,-94.97,82.4,3.36
tecpan,75,GT,1569382413,82,14.76,-90.99,68.0,5.39
hami,0,CN,1569382413,9,42.84,93.51,80.63,9.31
ternate,75,PH,1569382413,66,14.29,120.72,88.0,8.05
sept-iles,75,CA,1569382152,75,50.2,-66.38,46.0,6.93
simpang,100,ID,1569382413,65,4.36,96.17,86.39,1.36
nizwa,0,OM,1569382413,71,22.93,57.53,71.81,3.58
zaykovo,41,RU,1569382413,87,57.56,62.76,31.85,8.34
port hardy,75,CA,1569382413,87,50.7,-127.42,55.4,4.7
mehamn,75,NO,1569382414,70,71.03,27.85,42.8,14.99
wukari,100,NG,1569382414,90,7.87,9.78,76.31,6.29
buraydah,0,SA,1569382414,40,26.33,43.97,73.4,2.24
abha,0,SA,1569382414,63,18.22,42.5,64.4,4.74
greenville,40,US,1569382169,64,34.85,-82.4,78.8,4.7
psebay,100,RU,1569382414,60,44.12,40.81,46.25,5.68
bara,91,NG,1569382414,92,10.41,10.6,73.25,4.72
wilmington,1,US,1569382414,72,39.75,-75.55,64.0,4.21
pandan,3,PH,1569382415,79,11.72,122.09,82.61,11.14
la asuncion,0,AR,1569382415,53,-26.05,-65.39,53.27,4.7
kailua,40,US,1569382415,62,21.39,-157.74,86.0,9.17
tilichiki,100,RU,1569382415,87,60.47,166.1,42.47,13.09
haifa,75,IL,1569382180,82,32.82,35.0,68.0,3.36
leshukonskoye,100,RU,1569382415,91,64.9,45.76,35.81,9.93
whitehorse,75,CA,1569382415,57,60.72,-135.06,50.0,10.29
boali,20,CF,1569382415,94,4.81,18.11,75.2,3.36
tchollire,98,CM,1569382416,88,8.4,14.17,72.89,2.3
bereda,20,ES,1569382416,93,43.27,-7.54,62.01,5.82
dawei,1,MM,1569382416,69,14.07,98.19,83.15,13.6
carai,0,BR,1569382416,90,-17.19,-41.69,58.67,4.41
saint augustine,20,TT,1569382416,88,10.65,-61.4,81.0,5.82
kangaatsiaq,0,GL,1569382416,77,68.31,-53.46,40.13,19.04
puerto carreno,75,CO,1569382416,83,6.19,-67.49,80.6,2.24
elk plain,40,US,1569382416,77,47.04,-122.37,64.4,8.05
andilamena,100,MG,1569382417,88,-17.01,48.57,61.73,5.7
umm lajj,0,SA,1569382417,70,25.02,37.27,84.41,12.1
kosa,40,JP,1569382417,54,32.67,130.82,78.8,3.36
yerofey pavlovich,30,RU,1569382417,46,53.97,121.97,56.69,1.74
atar,0,MR,1569382417,19,20.52,-13.05,92.69,6.98
meadow lake,74,CA,1569382417,80,54.13,-108.44,43.37,4.7
berlevag,75,NO,1569382417,70,70.86,29.09,42.8,14.99
kota kinabalu,75,MY,1569382417,70,5.98,116.07,91.4,5.82
laguna,40,BZ,1569382418,83,16.17,-88.94,80.6,4.7
los llanos de aridane,0,ES,1569382418,68,28.66,-17.92,71.6,11.41
cidreira,0,BR,1569382237,94,-30.17,-50.22,59.21,6.13
sumbe,100,AO,1569382418,91,-11.2,13.84,71.63,2.64
la tuque,100,CA,1569382418,97,47.44,-72.79,45.35,3.02
marsabit,0,KE,1569382418,58,2.34,37.99,75.95,20.29
altamira,44,BR,1569382370,93,-3.2,-52.21,71.63,1.54
chenghai,20,CN,1569382418,45,23.46,116.77,84.2,8.95
walvis bay,0,NA,1569382418,87,-22.95,14.51,59.0,10.29
adre,79,TD,1569382419,51,13.47,22.2,79.55,5.23
lakatoro,52,VU,1569382419,69,-16.11,167.42,80.6,10.29
bahia blanca,0,AR,1569382139,46,-38.72,-62.27,57.23,5.21
moindou,0,NC,1569382419,50,-21.69,165.68,77.0,14.99
gloucester,90,GB,1569382210,93,51.87,-2.25,60.01,12.75
loreto,23,PY,1569382419,50,-23.27,-57.32,75.95,6.22
springbok,0,ZA,1569382419,32,-29.67,17.88,67.13,30.33
